,Player,Battles,Rank,Win rate,Avg. frags,Avg. damage
100,UNSC_Prowler,21,10,66.67%,0.57,51 461
122,Sega_NeptuneNepgear,35,8,65.71%,0.6,99 809
123,Gravedigger_USA,26,9,65.38%,0.69,100 720
123,Ahskance,26,8,65.38%,1.15,108 154
125,BonkLeader,23,9,65.22%,1.17,94 440
125,MightOfMjolnir,23,14,65.22%,0.7,68 071
125,LeozMaxwellJiliumz,23,8,65.22%,1.0,77 834
125,Tyrisfal,23,8,65.22%,1.26,110 767
125,DeepHazard,23,10,65.22%,0.57,43 944
130,DolphinQueen,20,10,65%,1.05,120 699
130,COSACO2202,20,10,65%,0.75,70 819
130,JESUSDIEDAVIRGIN,20,18,65%,0.5,103 577
130,Auroraz,20,8,65%,0.65,83 168
130,ACUPOFGR,20,9,65%,0.8,80 773
130,GL_Enterprise,20,8,65%,0.8,94 017
136,Probe007,17,9,64.71%,0.41,81 837
136,Hobbleman,17,10,64.71%,1.12,73 577
136,TurretBonk,17,9,64.71%,1.29,80 107
136,kehfee,17,10,64.71%,1.71,105 520
136,Garo_D,17,11,64.71%,0.53,59 251
136,Cranky999,17,9,64.71%,0.82,91 434
136,Pokestar2,17,8,64.71%,0.82,81 292
136,beijingyemer,17,9,64.71%,0.71,78 831
136,citrical,17,9,64.71%,0.71,105 722
136,DGfubar,17,9,64.71%,1.0,114 459
136,Tsundere__Takao,17,8,64.71%,0.65,66 122
147,loop_de_loop,31,9,64.52%,0.68,61 401
148,fullmetal2012,14,9,64.29%,0.71,82 833
148,lordholland4293,14,10,64.29%,0.79,101 796
148,metalfest,14,12,64.29%,0.5,54 980
148,The_Firewood,14,10,64.29%,0.71,101 986
148,battowater,14,10,64.29%,0.14,44 687
148,mBlatt,14,10,64.29%,0.86,116 349
148,o0Savior0o,14,10,64.29%,1.14,108 628
148,The_Investor,14,9,64.29%,0.71,100 668
148,MatthewBunkerRidgway,14,10,64.29%,0.36,123 511
148,AwesomeEwok8,14,18,64.29%,1.21,114 167
148,cwalsh412,28,9,64.29%,0.43,67 851
148,grassmudhorse_na,14,9,64.29%,1.43,70 252
160,Mr_Pacific,25,9,64%,0.56,50 776
160,Redstar2006,25,10,64%,0.96,82 999
162,pr0skis_NA,36,8,63.89%,1.22,104 740
162,CVs_are_cancer,36,10,63.89%,0.86,51 078
164,noobpwnr,33,9,63.64%,0.52,92 258
164,ChatBonk,22,9,63.64%,0.95,116 526
164,OnociTsalk,22,8,63.64%,0.77,59 229
164,Merc_R_Us,22,8,63.64%,2.05,122 174
164,GOD_HUGH,22,11,63.64%,0.36,64 661
169,Dastert,41,5,63.41%,1.1,110 297
170,VF19_Excalibur,30,9,63.33%,1.03,87 365
170,AOD_Styrgis,30,10,63.33%,0.37,51 999
172,gingernight,19,10,63.16%,0.58,80 219
172,SlowLNF,19,10,63.16%,0.63,72 041
172,Ethan53409,19,9,63.16%,0.63,49 436
172,ARG_MONO,19,10,63.16%,0.74,46 315
176,polarberg,46,6,63.04%,0.96,98 660
177,BartBandyTLB,27,8,62.96%,0.44,73 079
178,bruxo_2019,35,9,62.86%,0.57,48 285
179,soloizt16,16,9,62.5%,1.06,72 147
179,sgsw8099,16,10,62.5%,0.88,76 937
179,Tatical,32,9,62.5%,0.56,78 715
179,Excalibur0_0,16,8,62.5%,0.81,97 084
179,IIwisniaII,32,10,62.5%,0.66,45 478
179,TheProfesionalNoob,24,8,62.5%,1.25,125 505
179,WanderingBread,16,10,62.5%,1.56,116 591
179,BalansBonk,16,9,62.5%,0.75,117 339
179,BlizzardHero,16,10,62.5%,1.0,95 441
179,Jovan_Otten,16,10,62.5%,0.75,88 701
179,Rngblair6,24,10,62.5%,0.75,55 065
179,CaptainGadriel,16,10,62.5%,0.88,94 301
179,alcande_2017,16,10,62.5%,0.25,60 734
179,cableguy2211,16,9,62.5%,0.75,114 510
179,Sanadaririna,24,8,62.5%,0.58,91 608
179,tienduc_2019,16,10,62.5%,0.5,82 263
179,BMEofSJTU,16,9,62.5%,0.5,85 543
179,demonanges,24,9,62.5%,0.75,87 822
197,rpbautis,29,8,62.07%,0.66,73 942
197,AsakuraMiu,29,6,62.07%,1.21,129 397
197,Matheusgs15,29,9,62.07%,0.69,85 981
197,CohenShin,29,9,62.07%,1.21,123 566
201,anndz,21,10,61.9%,0.38,45 206
201,CaptainHindgrinder,21,10,61.9%,0.62,67 346
201,Maverick_1716,21,9,61.9%,1.19,93 963
201,CaptainEx,21,10,61.9%,0.57,100 738
205,jWARLEY,34,8,61.76%,0.71,75 440
206,FuriousRaccoon,26,8,61.54%,1.08,66 431
206,Brujo62,26,9,61.54%,0.77,62 750
208,ruthven85,31,8,61.29%,0.77,72 995
209,projectMONster,18,10,61.11%,1.22,105 619
209,skapunky,18,9,61.11%,0.78,61 307
209,TG_Fluellon,18,10,61.11%,0.94,62 965
209,VeryAngryBeaver,18,12,61.11%,0.83,66 582
209,IAmCoop,18,8,61.11%,1.06,106 484
209,CURREN_ST206,18,10,61.11%,0.78,85 660
209,StayFrostyEnterprises,18,11,61.11%,0.44,55 992
209,ma_999,18,10,61.11%,1.17,142 970
209,YAGIYAparadise,18,10,61.11%,0.28,78 150
218,John_the_Impaler,23,9,60.87%,1.13,83 357
218,Bloodjerr,23,8,60.87%,1.3,109 791
218,frank_zf,23,9,60.87%,0.74,79 569
218,SDLTQLWSL,23,10,60.87%,0.61,71 189
222,TH3_ST0RM,56,6,60.71%,1.07,113 161
222,CaIiber,28,7,60.71%,1.04,109 734
222,Dead_Eye230,28,10,60.71%,0.89,97 810
222,Friz0,28,9,60.71%,0.36,79 335
226,Prince241,33,9,60.61%,0.58,41 224
227,ace3131,20,10,60%,0.6,51 987
227,______AESTHETIC_BREADBOX,15,10,60%,0.93,96 149
227,Comdt_Lassard,20,10,60%,0.6,91 208
227,Adnen,15,10,60%,1.07,65 108
227,2Real_CaiXuKun,15,9,60%,1.13,129 034
227,AgueroFA1,15,9,60%,0.73,104 626
227,MiltonJunior,25,9,60%,0.68,113 871
227,Watatsuki_no_Yorihime,15,9,60%,0.73,85 355
227,sambravo,15,10,60%,0.4,67 347
